tshirt name,price,image
Swagat Toh Karo Hamara Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Gym Karo Half Sleeve T-Shirt,247,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Swagat Toh Karo Hamara Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Baap Hoon Tera Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Pehli Fursat Mein Nikal Full Sleeve T-Shirt,284,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Swagat Toh Karo Hamara Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Dost Mujhe Sudharne Nahi Dete Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Gym Karo Full Sleeve T-Shirt,292,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Dost Mujhe Sudharne Nahi Dete Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Safarnama Full Sleeve T-Shirt,292,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Dimaag Garam Half Sleeve T-Shirt,251,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Dost Mujhe Sudharne Nahi Dete Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
